identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
nuXmv_constAddition_001.st;0.92;0.06;0:00.63;155%;(0avgtext+0avgdata 85996maxresident)k;0inputs+96outputs;(0major+17011minor)pagefaults;0swaps
nuXmv_constAddition_002.st;0.97;0.06;0:00.56;185%;(0avgtext+0avgdata 87420maxresident)k;0inputs+96outputs;(0major+17482minor)pagefaults;0swaps
nuXmv_constAddition_003.st;1.00;0.07;0:00.59;182%;(0avgtext+0avgdata 89320maxresident)k;0inputs+96outputs;(0major+18643minor)pagefaults;0swaps
nuXmv_constAddition_004.st;1.04;0.06;0:00.59;185%;(0avgtext+0avgdata 85508maxresident)k;0inputs+96outputs;(0major+19314minor)pagefaults;0swaps
nuXmv_constAddition_005.st;1.14;0.05;0:00.67;178%;(0avgtext+0avgdata 87140maxresident)k;0inputs+96outputs;(0major+19705minor)pagefaults;0swaps
nuXmv_constAddition_006.st;1.08;0.08;0:00.63;182%;(0avgtext+0avgdata 87180maxresident)k;0inputs+152outputs;(0major+19521minor)pagefaults;0swaps
nuXmv_constAddition_007.st;1.18;0.08;0:00.73;172%;(0avgtext+0avgdata 90504maxresident)k;0inputs+96outputs;(0major+19613minor)pagefaults;0swaps
nuXmv_constAddition_008.st;1.39;0.09;0:00.95;155%;(0avgtext+0avgdata 88524maxresident)k;0inputs+96outputs;(0major+21586minor)pagefaults;0swaps
nuXmv_constAddition_009.st;1.34;0.05;0:00.87;161%;(0avgtext+0avgdata 81336maxresident)k;0inputs+96outputs;(0major+21069minor)pagefaults;0swaps
nuXmv_constAddition_010.st;1.64;0.05;0:01.15;146%;(0avgtext+0avgdata 85924maxresident)k;0inputs+96outputs;(0major+22095minor)pagefaults;0swaps
nuXmv_constAddition_011.st;2.40;0.05;0:01.95;126%;(0avgtext+0avgdata 88092maxresident)k;0inputs+96outputs;(0major+21875minor)pagefaults;0swaps
nuXmv_constAddition_012.st;2.72;0.07;0:02.26;124%;(0avgtext+0avgdata 87440maxresident)k;0inputs+96outputs;(0major+23301minor)pagefaults;0swaps
