identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_varAddition_001.st;0.84;0.04;0:00.44;198%;(0avgtext+0avgdata 86752maxresident)k;0inputs+72outputs;(0major+12491minor)pagefaults;0swaps
smteta_varAddition_002.st;0.80;0.03;0:00.43;192%;(0avgtext+0avgdata 81844maxresident)k;0inputs+72outputs;(0major+12194minor)pagefaults;0swaps
smteta_varAddition_003.st;0.77;0.04;0:00.43;186%;(0avgtext+0avgdata 82560maxresident)k;0inputs+72outputs;(0major+11720minor)pagefaults;0swaps
smteta_varAddition_004.st;0.83;0.05;0:00.43;205%;(0avgtext+0avgdata 82132maxresident)k;0inputs+72outputs;(0major+12328minor)pagefaults;0swaps
smteta_varAddition_005.st;0.79;0.03;0:00.43;191%;(0avgtext+0avgdata 85232maxresident)k;0inputs+72outputs;(0major+11343minor)pagefaults;0swaps
smteta_varAddition_006.st;0.81;0.04;0:00.43;197%;(0avgtext+0avgdata 82700maxresident)k;0inputs+72outputs;(0major+11272minor)pagefaults;0swaps
smteta_varAddition_007.st;0.89;0.03;0:00.45;204%;(0avgtext+0avgdata 84724maxresident)k;0inputs+72outputs;(0major+12339minor)pagefaults;0swaps
smteta_varAddition_008.st;0.86;0.05;0:00.45;202%;(0avgtext+0avgdata 80892maxresident)k;0inputs+72outputs;(0major+12611minor)pagefaults;0swaps
smteta_varAddition_009.st;0.87;0.02;0:00.45;198%;(0avgtext+0avgdata 84808maxresident)k;0inputs+72outputs;(0major+11889minor)pagefaults;0swaps
smteta_varAddition_010.st;0.80;0.05;0:00.43;195%;(0avgtext+0avgdata 85176maxresident)k;0inputs+72outputs;(0major+11368minor)pagefaults;0swaps
smteta_varAddition_011.st;0.85;0.03;0:00.47;187%;(0avgtext+0avgdata 84248maxresident)k;0inputs+80outputs;(0major+11540minor)pagefaults;0swaps
smteta_varAddition_012.st;0.85;0.03;0:00.45;195%;(0avgtext+0avgdata 82056maxresident)k;0inputs+112outputs;(0major+11782minor)pagefaults;0swaps
smteta_varAddition_013.st;0.91;0.04;0:00.45;208%;(0avgtext+0avgdata 83736maxresident)k;0inputs+80outputs;(0major+12189minor)pagefaults;0swaps
smteta_varAddition_014.st;0.93;0.02;0:00.46;208%;(0avgtext+0avgdata 86416maxresident)k;0inputs+80outputs;(0major+12509minor)pagefaults;0swaps
smteta_varAddition_015.st;0.87;0.05;0:00.46;201%;(0avgtext+0avgdata 84084maxresident)k;0inputs+80outputs;(0major+12113minor)pagefaults;0swaps
smteta_varAddition_016.st;0.84;0.04;0:00.45;193%;(0avgtext+0avgdata 82432maxresident)k;0inputs+80outputs;(0major+11779minor)pagefaults;0swaps
smteta_varAddition_017.st;0.85;0.03;0:00.45;194%;(0avgtext+0avgdata 84920maxresident)k;0inputs+80outputs;(0major+11233minor)pagefaults;0swaps
smteta_varAddition_018.st;0.92;0.03;0:00.47;205%;(0avgtext+0avgdata 84788maxresident)k;0inputs+80outputs;(0major+12569minor)pagefaults;0swaps
smteta_varAddition_019.st;0.90;0.07;0:00.45;215%;(0avgtext+0avgdata 85556maxresident)k;0inputs+80outputs;(0major+12542minor)pagefaults;0swaps
smteta_varAddition_020.st;0.86;0.03;0:00.46;193%;(0avgtext+0avgdata 79504maxresident)k;0inputs+80outputs;(0major+12128minor)pagefaults;0swaps
smteta_varAddition_021.st;0.89;0.05;0:00.45;207%;(0avgtext+0avgdata 84836maxresident)k;0inputs+80outputs;(0major+11941minor)pagefaults;0swaps
smteta_varAddition_022.st;0.93;0.05;0:00.48;205%;(0avgtext+0avgdata 82744maxresident)k;0inputs+80outputs;(0major+11793minor)pagefaults;0swaps
